venue,innings,batting_team,bowling_team,team1avgscore,team2avgecoscore,team1vsteam2avgscore,team1venueavgscore,team2venueavgecoscore,venueavgscore,Totalppscore
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,52,37,45,45,45,52,45
Rajiv Gandhi International Stadium,2,Punjab Kings,Sunrisers Hyderabad,55,42,41,41,58,49,41
MA Chidambaram Stadium,2,Delhi Capitals,Chennai Super Kings,50,53,64,64,56,52,64
MA Chidambaram Stadium,1,Chennai Super Kings,Delhi Capitals,46,43,47,48,47,54,47
Punjab Cricket Association Stadium,1,Punjab Kings,Kolkata Knight Riders,52,38,49,55,49,50,49
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,44,42,46,42,46,45,46
M Chinnaswamy Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,46,49,33,33,47,45,33
Punjab Cricket Association Stadium,2,Kolkata Knight Riders,Punjab Kings,47,48,31,31,45,50,31
Dr DY Patil Sports Academy,1,Mumbai Indians,Delhi Capitals,40,44,50,50,50,43,50
Sawai Mansingh Stadium,2,Rajasthan Royals,Chennai Super Kings,51,55,44,49,44,50,44
Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,46,54,38,38,52,49,38
Dr DY Patil Sports Academy,2,Delhi Capitals,Mumbai Indians,53,49,37,37,37,45,37
M Chinnaswamy Stadium,2,Punjab Kings,Royal Challengers Bangalore,51,46,52,52,43,43,52
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Punjab Kings,44,45,26,43,26,44,26
MA Chidambaram Stadium,2,Sunrisers Hyderabad,Chennai Super Kings,43,53,50,50,59,53,50
MA Chidambaram Stadium,1,Chennai Super Kings,Sunrisers Hyderabad,45,42,34,48,34,53,34
Dr DY Patil Sports Academy,1,Rajasthan Royals,Mumbai Indians,50,47,48,48,48,43,48
Dr DY Patil Sports Academy,2,Mumbai Indians,Rajasthan Royals,42,52,34,38,34,44,34
Arun Jaitley Stadium,2,Chennai Super Kings,Delhi Capitals,43,45,58,58,47,52,58
Arun Jaitley Stadium,1,Delhi Capitals,Chennai Super Kings,50,53,50,56,50,53,50
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,45,47,41,33,41,35,41
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,42,40,35,35,38,36,35
Sawai Mansingh Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,44,49,50,50,47,47,50
Sawai Mansingh Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,49,41,50,47,50,47,50
MA Chidambaram Stadium,1,Chennai Super Kings,Punjab Kings,45,42,51,44,51,50,51
MA Chidambaram Stadium,2,Punjab Kings,Chennai Super Kings,51,52,35,35,56,50,35
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Kolkata Knight Riders,45,39,52,44,52,48,52
Sawai Mansingh Stadium,1,Delhi Capitals,Rajasthan Royals,50,49,47,47,48,48,47
Rajiv Gandhi International Stadium,1,Kolkata Knight Riders,Sunrisers Hyderabad,44,42,43,43,52,48,43
Sawai Mansingh Stadium,2,Rajasthan Royals,Delhi Capitals,49,47,21,48,21,48,21
Punjab Cricket Association Stadium,1,Royal Challengers Bangalore,Punjab Kings,41,43,50,50,42,48,50
Punjab Cricket Association Stadium,2,Punjab Kings,Royal Challengers Bangalore,49,46,42,54,42,48,42
Eden Gardens,2,Delhi Capitals,Kolkata Knight Riders,50,41,37,37,37,36,37
Eden Gardens,1,Kolkata Knight Riders,Delhi Capitals,44,43,35,35,35,36,35
Wankhede Stadium,2,Mumbai Indians,Chennai Super Kings,41,50,78,78,78,43,78
Wankhede Stadium,1,Chennai Super Kings,Mumbai Indians,46,47,28,28,28,55,28
Arun Jaitley Stadium,2,Sunrisers Hyderabad,Delhi Capitals,46,42,71,71,51,52,71
Arun Jaitley Stadium,1,Delhi Capitals,Sunrisers Hyderabad,48,42,48,54,48,55,48
Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,43,45,27,27,34,48,27
Arun Jaitley Stadium,2,Punjab Kings,Delhi Capitals,48,45,73,73,56,54,73
Arun Jaitley Stadium,1,Delhi Capitals,Punjab Kings,48,44,68,52,68,56,68
Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,46,46,51,42,51,45,51
Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,42,49,23,23,48,45,23
Rajiv Gandhi International Stadium,1,Mumbai Indians,Sunrisers Hyderabad,45,43,57,57,50,48,57
Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,44,40,43,43,37,36,43
Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,41,53,35,35,35,37,35
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Mumbai Indians,48,43,28,46,28,49,28
M Chinnaswamy Stadium,2,Delhi Capitals,Royal Challengers Bangalore,50,46,71,71,45,42,71
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Capitals,40,48,41,40,41,45,41
Eden Gardens,2,Rajasthan Royals,Kolkata Knight Riders,47,40,42,42,38,36,42
Eden Gardens,1,Kolkata Knight Riders,Rajasthan Royals,41,46,32,35,32,37,32
Wankhede Stadium,2,Mumbai Indians,Punjab Kings,46,46,68,62,68,44,68
MA Chidambaram Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,44,48,44,45,44,49,44
Wankhede Stadium,1,Punjab Kings,Mumbai Indians,51,41,43,43,31,48,43
MA Chidambaram Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,40,51,23,23,52,48,23
Punjab Cricket Association Stadium,2,Punjab Kings,Sunrisers Hyderabad,50,44,74,51,74,47,74
Punjab Cricket Association Stadium,1,Sunrisers Hyderabad,Punjab Kings,46,48,42,42,43,50,42
MA Chidambaram Stadium,1,Rajasthan Royals,Chennai Super Kings,46,49,67,67,47,46,67
MA Chidambaram Stadium,2,Chennai Super Kings,Rajasthan Royals,44,45,65,45,65,48,65
Arun Jaitley Stadium,1,Mumbai Indians,Delhi Capitals,49,47,60,60,59,57,60
Arun Jaitley Stadium,2,Delhi Capitals,Mumbai Indians,52,41,56,55,56,57,56
Eden Gardens,2,Kolkata Knight Riders,Punjab Kings,40,48,51,34,51,36,51
Eden Gardens,1,Punjab Kings,Kolkata Knight Riders,52,41,47,47,39,38,47
Rajiv Gandhi International Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,38,46,43,43,51,47,43
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,46,48,41,42,41,46,41
Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,48,42,35,44,35,43,35
Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,50,46,29,29,43,43,29
Rajiv Gandhi International Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,45,46,44,44,50,46,44
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,45,50,26,42,26,46,26
Punjab Cricket Association Stadium,1,Punjab Kings,Rajasthan Royals,52,45,51,55,51,49,51
M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,48,47,39,39,49,44,39
Punjab Cricket Association Stadium,2,Rajasthan Royals,Punjab Kings,47,48,38,38,43,49,38
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,39,42,36,40,36,44,36
Wankhede Stadium,1,Rajasthan Royals,Delhi Capitals,46,48,30,58,58,47,58
Wankhede Stadium,2,Delhi Capitals,Rajasthan Royals,52,45,51,28,28,48,28
Wankhede Stadium,1,Punjab Kings,Chennai Super Kings,52,49,45,35,35,46,35
Wankhede Stadium,2,Chennai Super Kings,Punjab Kings,45,47,52,35,35,45,35
Dr DY Patil Sports Academy,1,Chennai Super Kings,Rajasthan Royals,44,44,51,42,42,42,42
Dr DY Patil Sports Academy,2,Rajasthan Royals,Chennai Super Kings,47,48,55,41,41,42,41
Newlands,1,Mumbai Indians,Chennai Super Kings,47,47,65,40,40,40,40
Newlands,2,Chennai Super Kings,Mumbai Indians,44,41,40,40,40,40,40
Newlands,1,Royal Challengers Bangalore,Rajasthan Royals,39,44,40,29,29,40,29
Newlands,1,Punjab Kings,Delhi Capitals,50,49,64,67,67,36,67
Newlands,2,Sunrisers Hyderabad,Kolkata Knight Riders,44,41,45,37,37,44,37
St George's Park,1,Chennai Super Kings,Royal Challengers Bangalore,44,47,40,68,68,68,68
St George's Park,2,Royal Challengers Bangalore,Chennai Super Kings,38,47,34,46,46,46,46
Kingsmead,2,Kolkata Knight Riders,Punjab Kings,41,46,41,60,60,60,60
Kingsmead,1,Punjab Kings,Kolkata Knight Riders,51,41,48,46,46,46,46
Newlands,1,Sunrisers Hyderabad,Royal Challengers Bangalore,44,48,37,62,62,42,62
Newlands,2,Royal Challengers Bangalore,Sunrisers Hyderabad,38,46,44,31,31,45,31
Kingsmead,2,Chennai Super Kings,Delhi Capitals,45,50,52,60,60,53,60
Kingsmead,1,Delhi Capitals,Chennai Super Kings,50,47,57,59,59,55,59
Newlands,1,Rajasthan Royals,Kolkata Knight Riders,46,41,43,50,50,43,50
Newlands,2,Kolkata Knight Riders,Rajasthan Royals,42,43,41,38,38,44,38
Kingsmead,1,Royal Challengers Bangalore,Punjab Kings,38,47,38,49,49,56,49
Kingsmead,2,Punjab Kings,Royal Challengers Bangalore,51,49,47,44,44,54,44
Kingsmead,1,Sunrisers Hyderabad,Mumbai Indians,45,41,43,55,55,53,55
Kingsmead,2,Mumbai Indians,Sunrisers Hyderabad,47,45,42,49,49,53,49
St George's Park,1,Royal Challengers Bangalore,Delhi Capitals,38,51,48,44,44,57,44
St George's Park,2,Delhi Capitals,Royal Challengers Bangalore,51,49,64,43,43,52,43
Newlands,1,Punjab Kings,Rajasthan Royals,51,43,52,32,33,43,32
Newlands,2,Rajasthan Royals,Punjab Kings,47,47,45,32,32,42,32
Kingsmead,2,Sunrisers Hyderabad,Chennai Super Kings,45,47,38,69,69,52,69
Kingsmead,1,Chennai Super Kings,Sunrisers Hyderabad,46,45,39,62,62,54,62
St George's Park,1,Mumbai Indians,Kolkata Knight Riders,47,42,55,55,55,50,55
St George's Park,2,Kolkata Knight Riders,Mumbai Indians,42,42,33,47,47,51,47
SuperSport Park,1,Delhi Capitals,Rajasthan Royals,50,42,43,42,42,42,42
SuperSport Park,2,Rajasthan Royals,Delhi Capitals,46,50,39,33,33,33,33
Kingsmead,2,Royal Challengers Bangalore,Kolkata Knight Riders,39,42,30,46,46,55,46
Kingsmead,1,Kolkata Knight Riders,Royal Challengers Bangalore,42,48,51,45,45,54,45
Kingsmead,1,Punjab Kings,Mumbai Indians,50,42,49,45,26,53,26
Kingsmead,2,Mumbai Indians,Punjab Kings,47,46,53,23,54,51,23
SuperSport Park,1,Chennai Super Kings,Rajasthan Royals,47,42,48,40,40,37,40
SuperSport Park,2,Rajasthan Royals,Chennai Super Kings,45,48,50,38,38,38,38
SuperSport Park,1,Sunrisers Hyderabad,Delhi Capitals,47,49,48,37,37,38,37
SuperSport Park,2,Delhi Capitals,Sunrisers Hyderabad,50,46,46,37,37,38,37
Buffalo Park,1,Mumbai Indians,Kolkata Knight Riders,46,43,46,40,40,40,40
Kingsmead,1,Royal Challengers Bangalore,Punjab Kings,39,45,41,47,44,49,38
Kingsmead,2,Punjab Kings,Royal Challengers Bangalore,48,48,46,38,44,48,35
Buffalo Park,2,Kolkata Knight Riders,Mumbai Indians,42,41,38,26,26,26,26
New Wanderers Stadium,2,Delhi Capitals,Chennai Super Kings,49,48,57,49,49,49,49
New Wanderers Stadium,1,Chennai Super Kings,Delhi Capitals,46,48,55,47,47,47,47
St George's Park,1,Sunrisers Hyderabad,Rajasthan Royals,46,42,53,39,39,50,39
St George's Park,2,Rajasthan Royals,Sunrisers Hyderabad,45,46,61,29,29,48,29
St George's Park,2,Punjab Kings,Kolkata Knight Riders,48,42,47,51,51,46,51
New Wanderers Stadium,2,Royal Challengers Bangalore,Mumbai Indians,39,41,38,51,51,48,51
St George's Park,1,Kolkata Knight Riders,Punjab Kings,41,45,47,28,28,46,28
New Wanderers Stadium,1,Mumbai Indians,Royal Challengers Bangalore,45,47,43,25,25,49,25
Buffalo Park,1,Chennai Super Kings,Sunrisers Hyderabad,46,45,46,53,53,33,53
Buffalo Park,2,Sunrisers Hyderabad,Chennai Super Kings,46,48,48,52,52,39,52
Kingsmead,1,Rajasthan Royals,Punjab Kings,44,44,41,57,42,47,57
Kingsmead,2,Delhi Capitals,Kolkata Knight Riders,49,43,57,57,46,48,57
Kingsmead,1,Kolkata Knight Riders,Delhi Capitals,40,48,54,52,54,48,54
Kingsmead,2,Punjab Kings,Rajasthan Royals,48,42,45,37,29,49,29
SuperSport Park,2,Mumbai Indians,Sunrisers Hyderabad,44,45,44,41,41,37,41
SuperSport Park,1,Sunrisers Hyderabad,Mumbai Indians,46,41,47,37,37,38,37
SuperSport Park,1,Chennai Super Kings,Punjab Kings,47,44,46,57,57,38,57
SuperSport Park,2,Punjab Kings,Chennai Super Kings,47,48,42,52,52,40,52
SuperSport Park,2,Rajasthan Royals,Royal Challengers Bangalore,45,46,48,35,31,41,31
SuperSport Park,1,Royal Challengers Bangalore,Rajasthan Royals,40,41,36,29,41,40,29
Buffalo Park,2,Delhi Capitals,Mumbai Indians,49,41,46,36,36,42,36
Buffalo Park,1,Mumbai Indians,Delhi Capitals,44,49,55,30,30,41,30
De Beers Diamond Oval,1,Sunrisers Hyderabad,Punjab Kings,45,45,46,52,52,52,52
De Beers Diamond Oval,2,Punjab Kings,Sunrisers Hyderabad,47,45,57,45,45,45,45
De Beers Diamond Oval,2,Chennai Super Kings,Rajasthan Royals,47,41,46,37,37,48,37
De Beers Diamond Oval,1,Rajasthan Royals,Chennai Super Kings,44,48,47,34,34,44,34
New Wanderers Stadium,2,Delhi Capitals,Kolkata Knight Riders,49,44,47,47,47,43,47
St George's Park,1,Mumbai Indians,Royal Challengers Bangalore,43,46,37,46,55,45,46
St George's Park,2,Royal Challengers Bangalore,Mumbai Indians,39,41,42,45,39,45,39
New Wanderers Stadium,1,Kolkata Knight Riders,Delhi Capitals,41,48,44,33,33,43,33
De Beers Diamond Oval,1,Sunrisers Hyderabad,Rajasthan Royals,46,41,48,42,42,42,42
De Beers Diamond Oval,2,Rajasthan Royals,Sunrisers Hyderabad,43,45,50,30,30,42,30
SuperSport Park,1,Punjab Kings,Mumbai Indians,47,40,41,51,51,39,51
SuperSport Park,2,Royal Challengers Bangalore,Kolkata Knight Riders,39,44,35,46,46,40,46
SuperSport Park,2,Mumbai Indians,Punjab Kings,43,45,43,42,42,40,42
SuperSport Park,1,Kolkata Knight Riders,Royal Challengers Bangalore,41,46,49,38,38,40,38
Kingsmead,1,Delhi Capitals,Sunrisers Hyderabad,49,44,43,58,55,48,56
Kingsmead,2,Sunrisers Hyderabad,Delhi Capitals,46,47,44,62,57,48,50
Kingsmead,1,Chennai Super Kings,Royal Challengers Bangalore,47,45,49,61,41,48,52
Kingsmead,1,Rajasthan Royals,Mumbai Indians,43,41,41,42,40,48,42
Kingsmead,2,Royal Challengers Bangalore,Chennai Super Kings,39,48,38,44,64,48,33
Kingsmead,2,Mumbai Indians,Rajasthan Royals,43,41,31,36,26,47,26
OUTsurance Oval,1,Delhi Capitals,Punjab Kings,49,45,56,37,37,37,37
OUTsurance Oval,2,Punjab Kings,Delhi Capitals,47,47,65,37,37,37,37
New Wanderers Stadium,2,Sunrisers Hyderabad,Kolkata Knight Riders,46,44,42,50,50,42,50
St George's Park,1,Mumbai Indians,Chennai Super Kings,43,47,56,50,49,44,49
St George's Park,2,Chennai Super Kings,Mumbai Indians,47,41,40,35,43,44,35
New Wanderers Stadium,1,Kolkata Knight Riders,Sunrisers Hyderabad,41,45,34,31,31,43,31
New Wanderers Stadium,2,Sunrisers Hyderabad,Punjab Kings,46,45,48,46,46,41,46
New Wanderers Stadium,1,Punjab Kings,Sunrisers Hyderabad,47,44,53,39,39,42,39
OUTsurance Oval,1,Delhi Capitals,Rajasthan Royals,48,40,43,35,35,37,35
OUTsurance Oval,2,Rajasthan Royals,Delhi Capitals,43,47,38,24,24,36,24
SuperSport Park,2,Kolkata Knight Riders,Chennai Super Kings,40,47,48,56,45,40,56
SuperSport Park,1,Chennai Super Kings,Kolkata Knight Riders,46,44,44,48,54,41,54
New Wanderers Stadium,1,Delhi Capitals,Royal Challengers Bangalore,48,46,57,48,37,41,37
New Wanderers Stadium,2,Royal Challengers Bangalore,Delhi Capitals,39,46,46,27,40,41,27
Kingsmead,1,Chennai Super Kings,Punjab Kings,47,45,49,58,45,47,50
Kingsmead,1,Rajasthan Royals,Kolkata Knight Riders,42,44,45,49,49,47,46
Kingsmead,2,Kolkata Knight Riders,Rajasthan Royals,41,40,40,53,27,47,29
Kingsmead,2,Punjab Kings,Chennai Super Kings,47,47,44,36,53,46,29
SuperSport Park,2,Sunrisers Hyderabad,Royal Challengers Bangalore,46,45,45,37,34,42,64
SuperSport Park,2,Delhi Capitals,Mumbai Indians,47,41,43,39,44,43,60
SuperSport Park,1,Royal Challengers Bangalore,Sunrisers Hyderabad,39,44,40,37,39,44,33
SuperSport Park,1,Mumbai Indians,Delhi Capitals,43,45,46,41,35,43,30
SuperSport Park,1,Delhi Capitals,Sunrisers Hyderabad,48,43,46,46,37,43,49
New Wanderers Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,38,47,36,39,59,40,59
New Wanderers Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,47,46,50,52,31,41,52
New Wanderers Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,39,44,38,45,35,42,36
New Wanderers Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,46,46,50,48,38,41,31
Dr DY Patil Sports Academy,2,Sunrisers Hyderabad,Kolkata Knight Riders,46,44,44,62,62,42,62
Dr DY Patil Sports Academy,1,Kolkata Knight Riders,Sunrisers Hyderabad,40,43,33,38,38,44,38
Brabourne Stadium,1,Mumbai Indians,Rajasthan Royals,42,40,29,69,69,69,69
Punjab Cricket Association Stadium,1,Punjab Kings,Delhi Capitals,46,45,58,54,44,48,44
Punjab Cricket Association Stadium,2,Delhi Capitals,Punjab Kings,48,45,50,39,42,48,39
Brabourne Stadium,2,Rajasthan Royals,Mumbai Indians,42,41,41,39,39,39,39
Eden Gardens,2,Kolkata Knight Riders,Royal Challengers Bangalore,40,46,46,37,61,38,61
MA Chidambaram Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,46,47,49,57,50,49,57
MA Chidambaram Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,47,43,48,48,34,49,34
Eden Gardens,1,Royal Challengers Bangalore,Kolkata Knight Riders,39,45,38,24,40,40,24
Sardar Patel Stadium,2,Delhi Capitals,Rajasthan Royals,47,40,41,60,60,60,60
Sardar Patel Stadium,1,Rajasthan Royals,Delhi Capitals,42,45,35,47,47,47,47
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Punjab Kings,38,45,40,39,61,43,61
M Chinnaswamy Stadium,1,Punjab Kings,Royal Challengers Bangalore,46,46,43,50,48,45,50
Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,41,47,50,40,45,39,45
Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,46,44,47,31,38,39,31
Arun Jaitley Stadium,1,Mumbai Indians,Delhi Capitals,43,45,42,67,59,57,67
Arun Jaitley Stadium,2,Delhi Capitals,Mumbai Indians,48,41,47,55,56,58,56
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,39,41,34,42,59,45,59
M Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,42,46,42,31,48,46,31
Arun Jaitley Stadium,2,Chennai Super Kings,Delhi Capitals,46,45,53,56,60,58,56
Barabati Stadium,1,Sunrisers Hyderabad,Punjab Kings,47,45,47,56,56,56,56
Arun Jaitley Stadium,1,Delhi Capitals,Chennai Super Kings,48,47,55,55,52,58,52
Barabati Stadium,2,Punjab Kings,Sunrisers Hyderabad,46,43,49,27,27,27,27
Sardar Patel Stadium,1,Rajasthan Royals,Kolkata Knight Riders,42,44,45,56,56,53,56
Brabourne Stadium,2,Royal Challengers Bangalore,Mumbai Indians,40,42,41,55,55,54,55
Brabourne Stadium,1,Mumbai Indians,Royal Challengers Bangalore,44,46,39,45,45,54,45
Sardar Patel Stadium,2,Kolkata Knight Riders,Rajasthan Royals,41,42,37,38,38,54,38
Barabati Stadium,2,Delhi Capitals,Sunrisers Hyderabad,48,42,46,48,48,41,48
Barabati Stadium,1,Sunrisers Hyderabad,Delhi Capitals,47,46,45,47,47,43,47
MA Chidambaram Stadium,2,Chennai Super Kings,Punjab Kings,46,46,49,46,42,48,42
MA Chidambaram Stadium,1,Punjab Kings,Chennai Super Kings,45,47,41,38,51,48,38
Brabourne Stadium,2,Mumbai Indians,Kolkata Knight Riders,44,44,44,57,57,52,57
Brabourne Stadium,1,Kolkata Knight Riders,Mumbai Indians,41,42,35,37,47,53,37
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,40,47,41,44,38,45,38
M Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,46,46,50,29,46,44,29
Punjab Cricket Association Stadium,2,Punjab Kings,Rajasthan Royals,45,42,41,53,75,47,75
Punjab Cricket Association Stadium,1,Rajasthan Royals,Punjab Kings,42,45,45,53,42,49,53
M Chinnaswamy Stadium,1,Delhi Capitals,Royal Challengers Bangalore,48,45,52,64,44,44,64
Brabourne Stadium,2,Mumbai Indians,Chennai Super Kings,45,47,54,57,63,50,63
Brabourne Stadium,1,Chennai Super Kings,Mumbai Indians,46,42,38,51,43,52,51
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Delhi Capitals,40,46,41,43,42,45,42
Sardar Patel Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,47,42,47,55,49,50,55
Sardar Patel Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,43,42,45,51,54,51,54
Punjab Cricket Association Stadium,1,Kolkata Knight Riders,Punjab Kings,41,46,42,50,43,49,50
Punjab Cricket Association Stadium,2,Punjab Kings,Kolkata Knight Riders,46,45,48,55,42,49,42
Sardar Patel Stadium,1,Rajasthan Royals,Chennai Super Kings,43,47,44,52,58,51,58
Sardar Patel Stadium,2,Chennai Super Kings,Rajasthan Royals,46,43,44,58,51,52,58
Dr DY Patil Sports Academy,1,Mumbai Indians,Sunrisers Hyderabad,45,43,43,37,32,43,52
Dr DY Patil Sports Academy,2,Sunrisers Hyderabad,Mumbai Indians,47,42,44,60,48,44,50
Arun Jaitley Stadium,1,Delhi Capitals,Kolkata Knight Riders,49,45,47,55,62,57,62
Arun Jaitley Stadium,2,Kolkata Knight Riders,Delhi Capitals,41,46,40,36,60,57,36
Brabourne Stadium,1,Punjab Kings,Mumbai Indians,46,42,44,48,45,52,48
Brabourne Stadium,2,Mumbai Indians,Punjab Kings,45,46,43,58,44,51,44
MA Chidambaram Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,46,46,46,46,56,47,56
Arun Jaitley Stadium,1,Delhi Capitals,Rajasthan Royals,49,43,44,56,52,56,52
MA Chidambaram Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,40,48,40,51,49,48,51
Arun Jaitley Stadium,2,Rajasthan Royals,Delhi Capitals,43,45,37,39,57,56,39
Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,47,45,48,59,37,39,59
Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,41,43,34,40,46,40,46
Punjab Cricket Association Stadium,2,Royal Challengers Bangalore,Punjab Kings,40,46,44,51,44,49,51
Punjab Cricket Association Stadium,1,Punjab Kings,Royal Challengers Bangalore,46,46,44,54,41,49,41
MA Chidambaram Stadium,1,Chennai Super Kings,Rajasthan Royals,46,43,46,47,66,48,66
